Area Name,Age Group,Total,Male,Female,,,,,,,,,,,,,,,,,,
Whitman,35-39,"1,806",912,894,,,,,,,,,,,,,,,,,,
Whitman,40-44,"1,864",927,937,,,,,,,,,,,,,,,,,,
Whitman,45-49,"2,003",980,"1,023",,,,,,,,,,,,,,,,,,
Whitman,50-54,"2,212","1,099","1,113",,,,,,,,,,,,,,,,,,
Whitman,55-59,"1,967","1,018",949,,,,,,,,,,,,,,,,,,
Whitman,60-64,"1,679",804,875,,,,,,,,,,,,,,,,,,
Whitman,65-69,"1,343",664,679,,,,,,,,,,,,,,,,,,
Whitman,70-74,885,420,465,,,,,,,,,,,,,,,,,,
Whitman,75-79,716,338,378,,,,,,,,,,,,,,,,,,
Whitman,80-84,584,255,329,,,,,,,,,,,,,,,,,,
Whitman,85+,729,270,459,,,,,,,,,,,,,,,,,,
Whitman,Total,"44,776","22,806","21,970",,,,,,,,,,,,,,,,,,
Yakima,0-4,"21,409","10,950","10,459",,,,,,,,,,,,,,,,,,
Yakima,5-9,"20,456","10,399","10,057",,,,,,,,,,,,,,,,,,
Yakima,10-14,"19,859","10,196","9,663",,,,,,,,,,,,,,,,,,
Yakima,15-19,"19,964","10,454","9,510",,,,,,,,,,,,,,,,,,
Yakima,20-24,"16,530","8,593","7,937",,,,,,,,,,,,,,,,,,
Yakima,25-29,"16,317","8,156","8,161",,,,,,,,,,,,,,,,,,
Yakima,30-34,"15,601","7,855","7,746",,,,,,,,,,,,,,,,,,
Yakima,35-39,"14,947","7,500","7,447",,,,,,,,,,,,,,,,,,
Yakima,40-44,"14,484","7,345","7,139",,,,,,,,,,,,,,,,,,
Yakima,45-49,"15,375","7,729","7,646",,,,,,,,,,,,,,,,,,
Yakima,50-54,"14,968","7,574","7,394",,,,,,,,,,,,,,,,,,
Yakima,55-59,"13,656","6,607","7,049",,,,,,,,,,,,,,,,,,
Yakima,60-64,"11,543","5,750","5,793",,,,,,,,,,,,,,,,,,
Yakima,65-69,"8,828","4,287","4,541",,,,,,,,,,,,,,,,,,
Yakima,70-74,"6,371","3,007","3,364",,,,,,,,,,,,,,,,,,
Yakima,75-79,"4,918","2,211","2,707",,,,,,,,,,,,,,,,,,
Yakima,80-84,"3,938","1,666","2,272",,,,,,,,,,,,,,,,,,
Yakima,85+,"4,067","1,397","2,670",,,,,,,,,,,,,,,,,,
Yakima,Total,"243,231","121,676","121,555",,,,,,,,,,,,,,,,,,
