Area Name,Age Group,Total,Male,Female,,,,,,,,,,,,,,,,,,
Columbia,85+,145,54,91,,,,,,,,,,,,,,,,,,
Columbia,Total,"4,078","2,022","2,056",,,,,,,,,,,,,,,,,,
Cowlitz,0-4,"6,564","3,274","3,290",,,,,,,,,,,,,,,,,,
Cowlitz,5-9,"6,760","3,370","3,390",,,,,,,,,,,,,,,,,,
Cowlitz,10-14,"6,994","3,593","3,401",,,,,,,,,,,,,,,,,,
Cowlitz,15-19,"7,157","3,656","3,501",,,,,,,,,,,,,,,,,,
Cowlitz,20-24,"5,683","2,820","2,863",,,,,,,,,,,,,,,,,,
Cowlitz,25-29,"5,702","2,837","2,865",,,,,,,,,,,,,,,,,,
Cowlitz,30-34,"5,956","2,975","2,981",,,,,,,,,,,,,,,,,,
Cowlitz,35-39,"6,140","3,061","3,079",,,,,,,,,,,,,,,,,,
Cowlitz,40-44,"6,420","3,189","3,231",,,,,,,,,,,,,,,,,,
Cowlitz,45-49,"7,237","3,632","3,605",,,,,,,,,,,,,,,,,,
Cowlitz,50-54,"7,837","3,947","3,890",,,,,,,,,,,,,,,,,,
Cowlitz,55-59,"7,342","3,644","3,698",,,,,,,,,,,,,,,,,,
Cowlitz,60-64,"6,813","3,341","3,472",,,,,,,,,,,,,,,,,,
Cowlitz,65-69,"5,173","2,557","2,616",,,,,,,,,,,,,,,,,,
Cowlitz,70-74,"3,618","1,760","1,858",,,,,,,,,,,,,,,,,,
Cowlitz,75-79,"2,728","1,258","1,470",,,,,,,,,,,,,,,,,,
Cowlitz,80-84,"2,117",885,"1,232",,,,,,,,,,,,,,,,,,
Cowlitz,85+,"2,169",743,"1,426",,,,,,,,,,,,,,,,,,
Cowlitz,Total,"102,410","50,542","51,868",,,,,,,,,,,,,,,,,,
Douglas,0-4,"2,803","1,434","1,369",,,,,,,,,,,,,,,,,,
Douglas,5-9,"2,832","1,418","1,414",,,,,,,,,,,,,,,,,,
Douglas,10-14,"2,956","1,540","1,416",,,,,,,,,,,,,,,,,,
Douglas,15-19,"2,895","1,504","1,391",,,,,,,,,,,,,,,,,,
Douglas,20-24,"2,192","1,141","1,051",,,,,,,,,,,,,,,,,,
Douglas,25-29,"2,360","1,209","1,151",,,,,,,,,,,,,,,,,,
Douglas,30-34,"2,344","1,151","1,193",,,,,,,,,,,,,,,,,,
Douglas,35-39,"2,342","1,159","1,183",,,,,,,,,,,,,,,,,,
Douglas,40-44,"2,318","1,150","1,168",,,,,,,,,,,,,,,,,,
Douglas,45-49,"2,591","1,301","1,290",,,,,,,,,,,,,,,,,,
Douglas,50-54,"2,685","1,345","1,340",,,,,,,,,,,,,,,,,,
Douglas,55-59,"2,514","1,239","1,275",,,,,,,,,,,,,,,,,,
Douglas,60-64,"2,156","1,066","1,090",,,,,,,,,,,,,,,,,,
Douglas,65-69,"1,747",869,878,,,,,,,,,,,,,,,,,,
Douglas,70-74,"1,291",640,651,,,,,,,,,,,,,,,,,,
Douglas,75-79,"1,008",487,521,,,,,,,,,,,,,,,,,,
Douglas,80-84,701,298,403,,,,,,,,,,,,,,,,,,
Douglas,85+,696,247,449,,,,,,,,,,,,,,,,,,
Douglas,Total,"38,431","19,198","19,233",,,,,,,,,,,,,,,,,,
Ferry,0-4,388,199,189,,,,,,,,,,,,,,,,,,
Ferry,5-9,376,220,156,,,,,,,,,,,,,,,,,,
Ferry,10-14,430,203,227,,,,,,,,,,,,,,,,,,
Ferry,15-19,543,322,221,,,,,,,,,,,,,,,,,,
Ferry,20-24,402,225,177,,,,,,,,,,,,,,,,,,
Ferry,25-29,335,172,163,,,,,,,,,,,,,,,,,,
Ferry,30-34,317,167,150,,,,,,,,,,,,,,,,,,
Ferry,35-39,340,178,162,,,,,,,,,,,,,,,,,,
